ndctl 85-1
neovim 0.12.4-1
nettle 4.0-1
networkmanager 1.56.1-1
networkmanager-qt 6.28.0-1
nftables 1:1.1.6-3
ninja 1.13.2-3
node-gyp 13.0.1-1
nodejs 26.4.0-1
nodejs-nopt 10.0.1-1
noto-fonts 1:2026.07.01-1
noto-fonts-cjk 20240730-1
noto-fonts-emoji 1:2.051-1
npm 12.0.1-1
npth 1.8-1
nspr 4.39-1
nss 3.125-1
ntfsprogs 2026.7.7-1
numactl 2.0.19-1
ocean-sound-theme 6.7.3-1
ocl-icd 2.3.4-1
okular 26.04.3-1
onetbb 2023.0.0-1
oniguruma 6.9.10-1
openal 1.25.2-1
opencore-amr 0.1.6-2
opencv 5.0.0-6
openexr 3.4.13-2
openh264 2.6.0-2
openjpeg2 2.5.4-1
openjph 0.30.1-1
openresolv 3.17.4-1
openssh 10.4p1-2
openssl 3.6.3-1
openxr 1.1.60-1
opus 1.6.1-1
orc 0.4.42-1
osinfo-db 20251212-1
ostree 2026.2-1
oxygen 6.7.3-1
oxygen-cursors 6.7.3-1
oxygen-icons 1:6.28.0-1
oxygen-sounds 6.7.3-1
p11-kit 0.26.4-1
pacman 7.1.0.r9.g54d9411-2
pacman-mirrorlist 20260610-1
pahole 1:1.31-2
pam 1.7.2-2
pambase 20260616-1
pango 1:1.58.0-1
parsec-bin 150_104a-1
parted 3.7-1
paru 2.1.0-2
paru-debug 2.1.0-2
patch 2.8-1
pciutils 3.15.0-1
pcre 8.45-4
pcre2 10.47-1
pcsclite 2.5.1-1
perl 5.42.2-1
perl-alien-build 2.84-4
perl-alien-libxml2 0.20-5
perl-appconfig 1.71-15
perl-b-hooks-endofscope 0.28-4
perl-capture-tiny 0.50-4
perl-class-data-inheritable 0.10-1
perl-class-inspector 1.36-10
perl-class-load 0.25-4
perl-class-method-modifiers 2.15-6
perl-class-singleton 1.6-3
perl-clone 0.50-1
perl-clone-choose 0.010-4
perl-data-dump 1.25-8
perl-data-optlist 0.114-7
perl-data-uuid 1.227-3
perl-datetime 1.66-2
perl-datetime-locale 1.45-1
perl-datetime-timezone 2.69-1
perl-devel-globaldestruction 0.14-13
perl-devel-stacktrace 2.05-4
perl-digest-sha1 2.13-22
perl-dist-checkconflicts 0.11-13
perl-encode-locale 1.05-15
perl-error 0.17030-3
perl-eval-closure 0.14-13
perl-exception-class 1.45-7
perl-exporter-tiny 1.006003-1
perl-ffi-checklib 0.31-8
perl-file-chdir 0.1011-6
perl-file-copy-recursive 0.45-10
perl-file-listing 6.16-6
perl-file-sharedir 1.118-8
perl-file-sharedir-install 0.14-6
perl-file-slurp 9999.32-5
perl-file-which 1.27-8
perl-html-parser 3.85-1
perl-html-tagset 3.24-4
perl-http-cookiejar 0.014-5
perl-http-cookies 6.11-4
perl-http-daemon 6.17-1
perl-http-date 6.08-1
perl-http-message 7.02-1
perl-http-negotiate 6.01-16
perl-import-into 1.002005-14
perl-io-all 0.87-10
perl-io-html 1.004-8
perl-io-socket-ssl 2.099-1
perl-io-string 1.08-13
perl-json 4.11-1
perl-libwww 6.83-1
perl-list-allutils 0.19-6
perl-list-moreutils 0.430-8
perl-list-moreutils-xs 0.430-7
perl-list-someutils 0.59-6
perl-list-utilsby 0.12-6
perl-lwp-mediatypes 6.04-8
perl-lwp-protocol-https 6.15-1
perl-mailtools 2.22-3
perl-math-round 0.08-1
perl-mime-base32 1.303-13
perl-module-implementation 0.09-13
perl-module-runtime 0.018-1
perl-moo 2.005005-6
perl-mro-compat 0.15-6
perl-namespace-autoclean 0.31-3
perl-namespace-clean 0.27-13
perl-net-http 6.24-2
perl-net-ssleay 1.96-1
perl-package-stash 0.40-7
perl-package-stash-xs 0.30-5
perl-parallel-forkmanager 2.04-2
perl-params-util 1.102-7
perl-params-validate 1.31-5
perl-params-validationcompiler 0.31-6
perl-path-tiny 0.150-2
perl-role-tiny 2.002005-1
perl-sort-versions 1.62-13
perl-specio 0.53-1
perl-string-shellquote 1.04-8
perl-sub-exporter 0.991-4
perl-sub-exporter-progressive 0.001013-13
perl-sub-install 0.929-4
perl-sub-quote 1:2.006009-2
perl-sys-syscall 0.25-14
perl-template-toolkit 3.106-1
perl-test-fatal 0.018-2
perl-timedate 2.35-1
perl-try-tiny 0.32-4
perl-uri 5.35-1
perl-variable-magic 0.64-3
